=== Enumerating S with e_3 = 0 (identity in Z[ζ_36]), n=36 ===

  6-element S with 0∈S and e_3=0: 136 aligned + 1416 non-aligned = 1552 total

--- Non-aligned S with e_3=0 ---
                                       S        N(e1)        N(e4)      gcd               primes
----------------------------------------------------------------------------------------------------
                   (0, 2, 3, 18, 33, 34)            1         1369        1                   []
                    (0, 2, 4, 5, 12, 23)            1         1369        1                   []
                    (0, 2, 4, 5, 19, 31)         5329          109        1                   []
                    (0, 2, 4, 5, 20, 35)            1         1369        1                   []
                     (0, 2, 4, 6, 8, 22)         6561           81       81                   []
                    (0, 2, 4, 6, 14, 24)           81            9        9                   []
                    (0, 2, 4, 6, 18, 28)           81            9        9                   []
                    (0, 2, 4, 6, 20, 34)         6561           81       81                   []
                    (0, 2, 4, 7, 20, 33)            1         1369        1                   []
                    (0, 2, 4, 8, 20, 32)            1            1        1                   []
                    (0, 2, 4, 9, 18, 27)            9            1        1                   []
                    (0, 2, 4, 9, 20, 31)           64            1        1                   []
                    (0, 2, 4, 9, 21, 35)         5329          109        1                   []
                   (0, 2, 4, 10, 20, 30)         6561           81       81                   []
                   (0, 2, 4, 11, 20, 29)            1            1        1                   []
                   (0, 2, 4, 12, 18, 26)           81            9        9                   []
                   (0, 2, 4, 12, 20, 28)            1            1        1                   []
                   (0, 2, 4, 12, 22, 34)           81            9        9                   []
                   (0, 2, 4, 13, 20, 27)           64            1        1                   []
                   (0, 2, 4, 13, 22, 31)            9            1        1                   []
                   (0, 2, 4, 14, 20, 26)           81           81       81                   []
                   (0, 2, 4, 14, 22, 28)           81            9        9                   []
                   (0, 2, 4, 15, 20, 25)            1         1369        1                   []
                   (0, 2, 4, 16, 20, 24)            1            1        1                   []
                   (0, 2, 4, 16, 26, 34)           81            9        9                   []
                   (0, 2, 4, 17, 20, 23)            1         1369        1                   []
                   (0, 2, 4, 17, 28, 35)            1         1369        1                   []
                   (0, 2, 4, 18, 32, 34)         6561           81       81                   []
                   (0, 2, 4, 19, 20, 21)            1            1        1                   []
                    (0, 2, 5, 8, 10, 23)            9        83521        1                   []
                    (0, 2, 5, 9, 18, 27)            1            1        1                   []
                   (0, 2, 5, 11, 12, 24)         2197         2197     2197                   []
                   (0, 2, 5, 11, 20, 29)            1            1        1                   []
                   (0, 2, 5, 12, 19, 27)         5329          109        1                   []
                   (0, 2, 5, 14, 15, 25)         5329          109        1                   []
                   (0, 2, 5, 14, 19, 26)          181          181      181                [181]
                   (0, 2, 5, 14, 23, 32)            9            1        1                   []
                   (0, 2, 5, 15, 24, 31)         5329          109        1                   []
